SENTIDO,LATITUD,LONGITUD,anio,mes,dia,hr,greater_mean
Interna,-34.60855,-58.372951,2020,6,17,8,True
Interna,-34.53698,-58.470968,2021,6,11,17,True
Egreso,-34.633299,-58.468594,2020,12,20,2,False
Egreso,-34.579632,-58.427733,2021,4,14,13,False
Ingreso,-34.633299,-58.468594,2021,8,3,21,False
Interna,-34.618036,-58.410236,2021,3,22,6,True
Egreso,-34.588796,-58.38152,2022,2,1,2,False
Interna,-34.60855,-58.372951,2021,12,6,23,False
Interna,-34.53698,-58.470968000000006,2020,3,13,4,False
Egreso,-34.633299,-58.468594,2021,12,4,19,True
Ingreso,-34.588796,-58.38152,2021,5,28,8,True
Interna,-34.60855,-58.372951,2020,5,8,12,True
Ingreso,-34.633299,-58.468594,2021,12,18,16,True
Interna,-34.53698,-58.470968,2022,3,5,14,True
Interna,-34.53698,-58.470968,2021,2,27,18,True
Interna,,,2021,5,29,1,False
Interna,-34.53698,-58.470968,2020,11,2,22,False
Interna,-34.588796,-58.38152,2020,7,29,14,True
Ingreso,-34.588796,-58.38152,2020,10,7,6,False
Egreso,-34.633299,-58.468594,2021,3,8,22,False
Interna,-34.618036,-58.410236,2021,7,31,22,False
Interna,-34.633299,-58.468594,2021,9,25,4,False
Interna,-34.53698,-58.470968000000006,2020,3,15,17,True
Interna,-34.579632000000004,-58.427733,2020,6,23,12,True
Interna,-34.53698,-58.470968000000006,2020,3,6,16,True
Interna,-34.53698,-58.470968000000006,2020,6,18,20,True
Ingreso,-34.588796,-58.38152,2020,4,5,3,False
Interna,-34.618036,-58.410236,2020,12,16,9,True
Interna,-34.588796,-58.38152,2021,2,15,7,False
Interna,-34.60855,-58.372951,2020,5,29,7,True
Interna,-34.633299,-58.468594,2021,11,26,3,False
Egreso,-34.579632,-58.427733,2021,9,17,7,False
Interna,-34.588796,-58.38152,2021,8,15,3,False
Interna,-34.588796,-58.38152,2020,9,2,6,False
Interna,-34.53698,-58.470968,2021,5,19,7,True
Ingreso,-34.588796,-58.38152,2020,8,5,11,True
Egreso,-34.579632,-58.427733,2021,4,29,22,False
Interna,-34.633299,-58.468594,2020,12,18,19,False
Interna,-34.60855,-58.372951,2020,3,26,1,False
Interna,-34.588796,-58.38152,2021,4,6,7,True
Ingreso,-34.588796,-58.38152,2020,4,12,16,False
Interna,-34.588796,-58.38152,2021,9,26,17,True
Egreso,-34.633299,-58.468594,2021,6,26,20,True
Egreso,-34.633299,-58.468594,2022,2,12,21,True
Ingreso,-34.588796,-58.38152,2022,3,3,11,True
Interna,-34.633299,-58.468594,2021,12,7,0,False
Egreso,-34.579632,-58.427733,2020,9,25,1,False
Ingreso,-34.633299,-58.468594,2021,3,16,21,False
Interna,-34.579632,-58.427733,2021,3,19,9,True
Interna,-34.588796,-58.38152,2021,1,2,16,False
Interna,-34.579632,-58.427733,2021,10,25,14,True
Interna,-34.588796,-58.38152,2021,3,31,17,True
Interna,-34.53698,-58.470968,2021,11,8,13,False
Egreso,-34.588796,-58.38152,2021,6,3,8,True
Interna,-34.633299,-58.468594,2021,2,20,20,False
Interna,-34.53698,-58.470968,2021,5,2,12,True
Ingreso,-34.633299,-58.468594,2021,6,15,13,True
Egreso,-34.588796,-58.38152,2021,11,14,0,False
Interna,-34.60855,-58.372951,2021,3,31,22,False
Interna,-34.579632000000004,-58.427733,2020,3,5,1,True
Egreso,-34.633299,-58.468594,2021,9,16,18,True
Egreso,-34.579632,-58.427733,2020,11,22,20,False
Interna,-34.579632,-58.427733,2021,1,30,11,True
Interna,,,2021,12,22,4,False
Interna,-34.579632,-58.427733,2022,3,12,8,True
Interna,-34.579632000000004,-58.427733,2020,6,24,18,True
Interna,-34.53698,-58.470968,2022,1,19,16,True
Ingreso,-34.633299,-58.468594,2022,1,18,4,False
Ingreso,-34.588796,-58.38152,2021,6,15,12,True
Egreso,-34.588796,-58.38152,2021,6,4,17,True
Egreso,-34.579632000000004,-58.427733,2020,3,4,14,False
Interna,-34.579632,-58.427733,2020,7,2,3,False
Egreso,-34.633299,-58.468594,2020,3,16,15,True
Interna,-34.60855,-58.372951,2020,3,9,14,False
Interna,,,2021,11,8,18,False
Interna,-34.618036,-58.410236,2020,11,20,17,True
Egreso,-34.588796,-58.38152,2020,8,4,19,False
Interna,-34.60855,-58.372951,2020,4,18,4,False
Egreso,-34.579632,-58.427733,2020,8,5,13,False
Egreso,-34.633299,-58.468594,2021,8,12,3,False
Interna,-34.633299,-58.468594,2021,10,27,5,False
Egreso,-34.588796,-58.38152,2020,3,10,6,True
Egreso,-34.579632,-58.427733,2022,2,28,13,False
Interna,-34.588796,-58.38152,2020,9,29,1,False
Interna,-34.579632,-58.427733,2021,1,7,17,True
Interna,-34.633299,-58.468594,2020,12,23,2,False
Ingreso,-34.588796,-58.38152,2021,8,16,21,False
Interna,-34.60855,-58.372951,2021,12,5,18,False
Interna,-34.53698,-58.470968000000006,2020,4,27,2,False
Ingreso,-34.633299,-58.468594,2021,8,28,6,False
Egreso,-34.588796,-58.38152,2020,12,22,21,False
Interna,-34.53698,-58.470968000000006,2020,3,3,5,False
Egreso,-34.588796,-58.38152,2020,9,3,6,False
Ingreso,-34.588796,-58.38152,2021,9,5,0,False
Interna,-34.588796,-58.38152,2021,6,10,20,True
Interna,-34.618036,-58.410236,2021,9,5,17,False
Ingreso,-34.633299,-58.468594,2021,5,15,17,True
Egreso,-34.579632000000004,-58.427733,2020,3,2,3,False
Ingreso,-34.588796,-58.38152,2020,7,15,11,True
Egreso,-34.588796,-58.38152,2022,2,10,4,False
Egreso,-34.579632,-58.427733,2021,7,6,16,False
Interna,-34.618036,-58.410236,2021,2,26,23,False
Interna,-34.53698,-58.470968,2021,10,8,16,True
Interna,-34.618036,-58.410236,2020,11,26,22,False
Interna,-34.53698,-58.470968,2021,6,1,6,False
Interna,-34.633299,-58.468594,2020,11,8,17,False
Ingreso,-34.588796,-58.38152,2021,3,14,1,False
Egreso,-34.579632,-58.427733,2022,2,16,9,False
Egreso,-34.633299,-58.468594,2021,10,8,12,True
Egreso,-34.579632,-58.427733,2021,12,29,1,False
Interna,-34.60855,-58.372951,2020,4,5,20,False
Interna,-34.60855,-58.372951,2020,5,14,19,True
Ingreso,-34.633299,-58.468594,2020,7,24,23,False
Ingreso,-34.588796,-58.38152,2020,6,19,13,True
Egreso,-34.633299,-58.468594,2021,6,26,15,True
Interna,-34.579632,-58.427733,2021,2,18,14,True
Egreso,-34.633299,-58.468594,2021,1,24,21,True
Interna,-34.588796,-58.38152,2021,11,22,9,False
Interna,-34.588796,-58.38152,2020,4,21,4,False
Interna,-34.633299,-58.468594,2020,9,12,22,False
Egreso,-34.579632,-58.427733,2020,8,29,5,False
Ingreso,-34.633299,-58.468594,2020,7,4,1,False
Interna,-34.618036,-58.410236,2021,4,22,6,False
Egreso,-34.633299,-58.468594,2021,6,11,18,True
Interna,-34.618036,-58.410236,2021,1,24,19,True
Interna,-34.579632,-58.427733,2021,3,19,18,True
Interna,-34.633299,-58.468594,2021,7,1,13,False
Ingreso,-34.633299,-58.468594,2021,6,27,12,True
