"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
16	0.912581087824351	5	5	"Churn"	"Yes"	0
17	0.928687263257576	5	5	"Churn"	"Yes"	0
18	0.935352896534278	5	5	"Churn"	"Yes"	0
19	0.937535790514863	5	5	"Churn"	"Yes"	0
20	0.904713208784005	5	5	"Churn"	"Yes"	0
21	0.936467644772639	5	5	"Churn"	"Yes"	0
22	0.945773755656109	5	5	"Churn"	"Yes"	0
23	0.914286617758664	5	5	"Churn"	"Yes"	0
24	0.898616643995336	5	5	"Churn"	"Yes"	0
25	0.932983408748115	5	5	"Churn"	"Yes"	0
26	0.928961062975486	5	5	"Churn"	"Yes"	0
27	0.931808372895986	5	5	"Churn"	"Yes"	0
28	0.963441832802607	5	5	"Churn"	"Yes"	0
29	0.900369335472805	5	5	"Churn"	"Yes"	0
30	0.949972850678733	5	5	"Churn"	"Yes"	0
1	0.9406499500998	6	6	"Churn"	"Yes"	0
2	0.907155308927835	6	6	"Churn"	"Yes"	0
3	0.919263105835806	6	6	"Churn"	"Yes"	0
4	0.905834891862082	6	6	"Churn"	"Yes"	0
5	0.90468778280543	6	6	"Churn"	"Yes"	0
6	0.938689876756342	6	6	"Churn"	"Yes"	0
7	0.939828801611279	6	6	"Churn"	"Yes"	0
8	0.946032097671442	6	6	"Churn"	"Yes"	0
9	0.923207812794449	6	6	"Churn"	"Yes"	0
10	0.92540497585427	6	6	"Churn"	"Yes"	0
11	0.892589820359281	6	6	"Churn"	"Yes"	0
12	0.915280397873435	6	6	"Churn"	"Yes"	0
13	0.937913207142602	6	6	"Churn"	"Yes"	0
14	0.931712866451451	6	6	"Churn"	"Yes"	0
15	0.931967790516906	6	6	"Churn"	"Yes"	0
16	0.923263970072481	6	6	"Churn"	"Yes"	0
17	0.922756917469908	6	6	"Churn"	"Yes"	0
18	0.956991096335359	6	6	"Churn"	"Yes"	0
19	0.878659843631903	6	6	"Churn"	"Yes"	0
20	0.950426136363636	6	6	"Churn"	"Yes"	0
21	0.907806100617397	6	6	"Churn"	"Yes"	0
22	0.921340604352895	6	6	"Churn"	"Yes"	0
23	0.924277527130838	6	6	"Churn"	"Yes"	0
24	0.948415381716199	6	6	"Churn"	"Yes"	0
25	0.930565393372122	6	6	"Churn"	"Yes"	0
26	0.946870059537825	6	6	"Churn"	"Yes"	0
27	0.928890926437608	6	6	"Churn"	"Yes"	0
28	0.894427660288687	6	6	"Churn"	"Yes"	0
29	0.922976575350235	6	6	"Churn"	"Yes"	0
30	0.89353649068323	6	6	"Churn"	"Yes"	0
1	0.879928673133991	7	7	"Churn"	"Yes"	0
2	0.919552256254384	7	7	"Churn"	"Yes"	0
3	0.925502781343603	7	7	"Churn"	"Yes"	0
4	0.938645812238674	7	7	"Churn"	"Yes"	0
5	0.947276128127192	7	7	"Churn"	"Yes"	0
6	0.942765011659541	7	7	"Churn"	"Yes"	0
7	0.960370206271846	7	7	"Churn"	"Yes"	0
8	0.966646974843696	7	7	"Churn"	"Yes"	0
9	0.936485566448802	7	7	"Churn"	"Yes"	0
10	0.930605002510384	7	7	"Churn"	"Yes"	0
11	0.92624134855736	7	7	"Churn"	"Yes"	0
12	0.891879585125221	7	7	"Churn"	"Yes"	0
13	0.951018214014672	7	7	"Churn"	"Yes"	0
14	0.928038621074279	7	7	"Churn"	"Yes"	0
15	0.944319617178391	7	7	"Churn"	"Yes"	0
16	0.95047432329876	7	7	"Churn"	"Yes"	0
17	0.932224690203414	7	7	"Churn"	"Yes"	0
18	0.880445658866995	7	7	"Churn"	"Yes"	0
19	0.938675958188153	7	7	"Churn"	"Yes"	0
20	0.920532479296066	7	7	"Churn"	"Yes"	0
21	0.934949293555851	7	7	"Churn"	"Yes"	0
22	0.891165755919854	7	7	"Churn"	"Yes"	0
23	0.843087362171332	7	7	"Churn"	"Yes"	0
24	0.918424209806362	7	7	"Churn"	"Yes"	0
25	0.920574496269957	7	7	"Churn"	"Yes"	0
26	0.880027568552159	7	7	"Churn"	"Yes"	0
27	0.940782732510945	7	7	"Churn"	"Yes"	0
28	0.906128747795414	7	7	"Churn"	"Yes"	0
29	0.949815665589019	7	7	"Churn"	"Yes"	0
30	0.908067719663293	7	7	"Churn"	"Yes"	0
1	0.937446732954546	8	8	"Churn"	"Yes"	0
2	0.918768545994065	8	8	"Churn"	"Yes"	0
3	0.90131019227497	8	8	"Churn"	"Yes"	0
4	0.946536700635061	8	8	"Churn"	"Yes"	0
5	0.845216708584508	8	8	"Churn"	"Yes"	0
6	0.920053196657598	8	8	"Churn"	"Yes"	0
7	0.933767827916764	8	8	"Churn"	"Yes"	0
8	0.921456088291946	8	8	"Churn"	"Yes"	0
9	0.913122138531975	8	8	"Churn"	"Yes"	0
10	0.945370586859949	8	8	"Churn"	"Yes"	0
11	0.907745067416315	8	8	"Churn"	"Yes"	0
12	0.922152943333945	8	8	"Churn"	"Yes"	0
13	0.84729149906141	8	8	"Churn"	"Yes"	0
14	0.917266817937672	8	8	"Churn"	"Yes"	0
15	0.912970577667771	8	8	"Churn"	"Yes"	0
16	0.919807834441981	8	8	"Churn"	"Yes"	0
17	0.924038792891252	8	8	"Churn"	"Yes"	0
18	0.944198436797121	8	8	"Churn"	"Yes"	0
19	0.929295812281384	8	8	"Churn"	"Yes"	0
20	0.908982705013603	8	8	"Churn"	"Yes"	0
21	0.920792921558618	8	8	"Churn"	"Yes"	0
22	0.897077390694412	8	8	"Churn"	"Yes"	0
23	0.909109929601733	8	8	"Churn"	"Yes"	0
24	0.910033500197435	8	8	"Churn"	"Yes"	0
25	0.913031047125702	8	8	"Churn"	"Yes"	0
26	0.907543285472973	8	8	"Churn"	"Yes"	0
27	0.912006033182504	8	8	"Churn"	"Yes"	0
28	0.90786533229693	8	8	"Churn"	"Yes"	0
29	0.900957063257948	8	8	"Churn"	"Yes"	0
30	0.960898911427612	8	8	"Churn"	"Yes"	0
1	0.938855775151917	9	9	"Churn"	"Yes"	0
2	0.908520946138501	9	9	"Churn"	"Yes"	0
3	0.928794358345146	9	9	"Churn"	"Yes"	0
4	0.898834628835675	9	9	"Churn"	"Yes"	0
5	0.904524579228243	9	9	"Churn"	"Yes"	0
6	0.877218702865762	9	9	"Churn"	"Yes"	0
7	0.924635070214339	9	9	"Churn"	"Yes"	0
8	0.887567035277523	9	9	"Churn"	"Yes"	0
9	0.897297134238311	9	9	"Churn"	"Yes"	0
10	0.949456204509988	9	9	"Churn"	"Yes"	0
11	0.923648255813953	9	9	"Churn"	"Yes"	0
12	0.878108466427943	9	9	"Churn"	"Yes"	0
13	0.929767912387809	9	9	"Churn"	"Yes"	0
14	0.924431333988856	9	9	"Churn"	"Yes"	0
15	0.896173792056666	9	9	"Churn"	"Yes"	0
16	0.941218036770921	9	9	"Churn"	"Yes"	0
17	0.917239314904472	9	9	"Churn"	"Yes"	0
18	0.916820509033624	9	9	"Churn"	"Yes"	0
19	0.928285063019576	9	9	"Churn"	"Yes"	0
20	0.92921937633401	9	9	"Churn"	"Yes"	0
21	0.938862876254181	9	9	"Churn"	"Yes"	0
22	0.929350466381656	9	9	"Churn"	"Yes"	0
23	0.919821627647715	9	9	"Churn"	"Yes"	0
24	0.911351799242424	9	9	"Churn"	"Yes"	0
25	0.883948709852039	9	9	"Churn"	"Yes"	0
26	0.870108197322575	9	9	"Churn"	"Yes"	0
27	0.919052750410509	9	9	"Churn"	"Yes"	0
28	0.920991983347169	9	9	"Churn"	"Yes"	0
29	0.90919593033468	9	9	"Churn"	"Yes"	0
30	0.932020134888987	9	9	"Churn"	"Yes"	0
1	0.940719436308243	10	10	"Churn"	"Yes"	0
2	0.915525757849152	10	10	"Churn"	"Yes"	0
3	0.930624020787955	10	10	"Churn"	"Yes"	0
4	0.93509467364532	10	10	"Churn"	"Yes"	0
5	0.91232222234539	10	10	"Churn"	"Yes"	0
6	0.897119119551144	10	10	"Churn"	"Yes"	0
7	0.899696362814135	10	10	"Churn"	"Yes"	0
8	0.899591408865117	10	10	"Churn"	"Yes"	0
9	0.889965785457589	10	10	"Churn"	"Yes"	0
10	0.913664739603576	10	10	"Churn"	"Yes"	0
11	0.879553393213573	10	10	"Churn"	"Yes"	0
12	0.947865570337956	10	10	"Churn"	"Yes"	0
13	0.907931961655366	10	10	"Churn"	"Yes"	0
