"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
6	0.913143571932346	10	10	"Churn"	"Yes"	0
7	0.929638517368341	10	10	"Churn"	"Yes"	0
8	0.911880847156058	10	10	"Churn"	"Yes"	0
9	0.921685606060606	10	10	"Churn"	"Yes"	0
10	0.926010135428154	10	10	"Churn"	"Yes"	0
11	0.931663685152057	10	10	"Churn"	"Yes"	0
12	0.925676100036427	10	10	"Churn"	"Yes"	0
13	0.942526786499353	10	10	"Churn"	"Yes"	0
14	0.94856747441681	10	10	"Churn"	"Yes"	0
15	0.919012448028539	10	10	"Churn"	"Yes"	0
16	0.903800904977376	10	10	"Churn"	"Yes"	0
17	0.931653958241846	10	10	"Churn"	"Yes"	0
18	0.891802138780991	10	10	"Churn"	"Yes"	0
19	0.919803851118474	10	10	"Churn"	"Yes"	0
20	0.941503012337547	10	10	"Churn"	"Yes"	0
21	0.919939630681818	10	10	"Churn"	"Yes"	0
22	0.904058927807323	10	10	"Churn"	"Yes"	0
23	0.951674208144796	10	10	"Churn"	"Yes"	0
24	0.934841740850643	10	10	"Churn"	"Yes"	0
25	0.90680495825955	10	10	"Churn"	"Yes"	0
26	0.937847683749323	10	10	"Churn"	"Yes"	0
27	0.92867275756156	10	10	"Churn"	"Yes"	0
28	0.915551719177097	10	10	"Churn"	"Yes"	0
29	0.92377581120944	10	10	"Churn"	"Yes"	0
30	0.898251611246977	10	10	"Churn"	"Yes"	0
1	0.925408062930187	11	11	"Churn"	"Yes"	0
2	0.910314950670377	11	11	"Churn"	"Yes"	0
3	0.928181796384213	11	11	"Churn"	"Yes"	0
4	0.920827523834646	11	11	"Churn"	"Yes"	0
5	0.918992603459869	11	11	"Churn"	"Yes"	0
6	0.923611907218465	11	11	"Churn"	"Yes"	0
7	0.897586678175802	11	11	"Churn"	"Yes"	0
8	0.929861238462009	11	11	"Churn"	"Yes"	0
9	0.957017578878731	11	11	"Churn"	"Yes"	0
10	0.908735585947975	11	11	"Churn"	"Yes"	0
11	0.902536873156342	11	11	"Churn"	"Yes"	0
12	0.909183773937872	11	11	"Churn"	"Yes"	0
13	0.92698180297009	11	11	"Churn"	"Yes"	0
14	0.913864253393665	11	11	"Churn"	"Yes"	0
15	0.903355155482815	11	11	"Churn"	"Yes"	0
16	0.914904541216846	11	11	"Churn"	"Yes"	0
17	0.902454083345322	11	11	"Churn"	"Yes"	0
18	0.922044162757127	11	11	"Churn"	"Yes"	0
19	0.918631891300953	11	11	"Churn"	"Yes"	0
20	0.933663922155689	11	11	"Churn"	"Yes"	0
21	0.932020134888987	11	11	"Churn"	"Yes"	0
22	0.944791503982508	11	11	"Churn"	"Yes"	0
23	0.896237951373903	11	11	"Churn"	"Yes"	0
24	0.930047355264976	11	11	"Churn"	"Yes"	0
25	0.922403421206237	11	11	"Churn"	"Yes"	0
26	0.915516906335017	11	11	"Churn"	"Yes"	0
27	0.91540009469697	11	11	"Churn"	"Yes"	0
28	0.916147298251701	11	11	"Churn"	"Yes"	0
29	0.918118938610742	11	11	"Churn"	"Yes"	0
30	0.887822078216017	11	11	"Churn"	"Yes"	0
1	0.924720359274304	12	12	"Churn"	"Yes"	0
2	0.897196045824095	12	12	"Churn"	"Yes"	0
3	0.900904621435595	12	12	"Churn"	"Yes"	0
4	0.94069472405208	12	12	"Churn"	"Yes"	0
5	0.946434985632184	12	12	"Churn"	"Yes"	0
6	0.950204582651391	12	12	"Churn"	"Yes"	0
7	0.913423803410966	12	12	"Churn"	"Yes"	0
8	0.874821199339813	12	12	"Churn"	"Yes"	0
9	0.892849705867041	12	12	"Churn"	"Yes"	0
10	0.925939882679529	12	12	"Churn"	"Yes"	0
11	0.89470916680219	12	12	"Churn"	"Yes"	0
12	0.931305488682538	12	12	"Churn"	"Yes"	0
13	0.928763627124908	12	12	"Churn"	"Yes"	0
14	0.908193061840121	12	12	"Churn"	"Yes"	0
15	0.892254021577621	12	12	"Churn"	"Yes"	0
16	0.903267374577174	12	12	"Churn"	"Yes"	0
17	0.889452973183055	12	12	"Churn"	"Yes"	0
18	0.892468767666914	12	12	"Churn"	"Yes"	0
19	0.888109624514458	12	12	"Churn"	"Yes"	0
20	0.897017371353655	12	12	"Churn"	"Yes"	0
21	0.895643495128113	12	12	"Churn"	"Yes"	0
22	0.9207866273353	12	12	"Churn"	"Yes"	0
23	0.882480490523969	12	12	"Churn"	"Yes"	0
24	0.932073353293413	12	12	"Churn"	"Yes"	0
25	0.951378493013972	12	12	"Churn"	"Yes"	0
26	0.889098011363636	12	12	"Churn"	"Yes"	0
27	0.924675716440422	12	12	"Churn"	"Yes"	0
28	0.921908429610612	12	12	"Churn"	"Yes"	0
29	0.905942734256355	12	12	"Churn"	"Yes"	0
30	0.92162093495935	12	12	"Churn"	"Yes"	0
1	0.927187457209366	13	13	"Churn"	"Yes"	0
2	0.789058949436308	13	13	"Churn"	"Yes"	0
3	0.92077139413419	13	13	"Churn"	"Yes"	0
4	0.90466503109211	13	13	"Churn"	"Yes"	0
5	0.922223743666986	13	13	"Churn"	"Yes"	0
6	0.908626850433895	13	13	"Churn"	"Yes"	0
7	0.951079377849289	13	13	"Churn"	"Yes"	0
8	0.911446784922395	13	13	"Churn"	"Yes"	0
9	0.928104129753305	13	13	"Churn"	"Yes"	0
10	0.875552613680529	13	13	"Churn"	"Yes"	0
11	0.915577677224736	13	13	"Churn"	"Yes"	0
12	0.932138774792428	13	13	"Churn"	"Yes"	0
13	0.906353235522736	13	13	"Churn"	"Yes"	0
14	0.905837783559268	13	13	"Churn"	"Yes"	0
15	0.888353818499806	13	13	"Churn"	"Yes"	0
16	0.866311418522309	13	13	"Churn"	"Yes"	0
17	0.881621172884632	13	13	"Churn"	"Yes"	0
18	0.917750124902692	13	13	"Churn"	"Yes"	0
19	0.939396773439327	13	13	"Churn"	"Yes"	0
20	0.891539825172688	13	13	"Churn"	"Yes"	0
21	0.901458951533135	13	13	"Churn"	"Yes"	0
22	0.895246307811893	13	13	"Churn"	"Yes"	0
23	0.924150829562594	13	13	"Churn"	"Yes"	0
24	0.939842996176159	13	13	"Churn"	"Yes"	0
25	0.903099182984162	13	13	"Churn"	"Yes"	0
26	0.905682321665928	13	13	"Churn"	"Yes"	0
27	0.876712592364532	13	13	"Churn"	"Yes"	0
28	0.916395904100822	13	13	"Churn"	"Yes"	0
29	0.895066635492167	13	13	"Churn"	"Yes"	0
30	0.891429793997188	13	13	"Churn"	"Yes"	0
1	0.86869656043529	14	14	"Churn"	"Yes"	0
2	0.919222218301161	14	14	"Churn"	"Yes"	0
3	0.893998594351198	14	14	"Churn"	"Yes"	0
4	0.919227457957872	14	14	"Churn"	"Yes"	0
5	0.89438622754491	14	14	"Churn"	"Yes"	0
6	0.870971584141569	14	14	"Churn"	"Yes"	0
7	0.890632579482137	14	14	"Churn"	"Yes"	0
8	0.916025060386473	14	14	"Churn"	"Yes"	0
9	0.923050820392032	14	14	"Churn"	"Yes"	0
10	0.910067471590909	14	14	"Churn"	"Yes"	0
11	0.887436616944814	14	14	"Churn"	"Yes"	0
12	0.910249420744173	14	14	"Churn"	"Yes"	0
13	0.897140271493213	14	14	"Churn"	"Yes"	0
14	0.934808003919056	14	14	"Churn"	"Yes"	0
15	0.932640968063872	14	14	"Churn"	"Yes"	0
16	0.876984392419175	14	14	"Churn"	"Yes"	0
17	0.932148368606702	14	14	"Churn"	"Yes"	0
18	0.909250710227273	14	14	"Churn"	"Yes"	0
19	0.904689863842663	14	14	"Churn"	"Yes"	0
20	0.931774613172669	14	14	"Churn"	"Yes"	0
21	0.924784973437895	14	14	"Churn"	"Yes"	0
22	0.884860883797054	14	14	"Churn"	"Yes"	0
23	0.936421625013071	14	14	"Churn"	"Yes"	0
24	0.893898173338515	14	14	"Churn"	"Yes"	0
25	0.919982042101296	14	14	"Churn"	"Yes"	0
26	0.902447045707915	14	14	"Churn"	"Yes"	0
27	0.91714987140519	14	14	"Churn"	"Yes"	0
28	0.84193665158371	14	14	"Churn"	"Yes"	0
29	0.90068874476267	14	14	"Churn"	"Yes"	0
30	0.918496194027184	14	14	"Churn"	"Yes"	0
1	0.867426836358938	15	15	"Churn"	"Yes"	0
2	0.926538918492901	15	15	"Churn"	"Yes"	0
3	0.89477244121349	15	15	"Churn"	"Yes"	0
4	0.917898193760263	15	15	"Churn"	"Yes"	0
5	0.901912518853695	14	15	"Churn"	"Yes"	0
6	0.889474823901053	15	15	"Churn"	"Yes"	0
